Taxon,redlistCategory,Resolution,Methods,Year,Pearson's r,MTCO2e
Amphibians,All species,0.5,Backward,1866,0.464,2347.4
Amphibians,All species,0.5,Backward,1867,0.464,2426.49
Amphibians,All species,0.5,Backward,1868,0.464,2461.67
Amphibians,All species,0.5,Backward,1869,0.464,2535.26
Amphibians,All species,0.5,Backward,1870,0.464,2568.52
Amphibians,All species,0.5,Backward,1871,0.464,2651.61
Amphibians,All species,0.5,Backward,1872,0.464,2805.06
Amphibians,All species,0.5,Backward,1873,0.464,2910.03
Amphibians,All species,0.5,Backward,1874,0.464,2835.53
Amphibians,All species,0.5,Backward,1875,0.464,2975.62
Amphibians,All species,0.5,Backward,1876,0.464,3016
Amphibians,All species,0.5,Backward,1877,0.464,3067.16
Amphibians,All species,0.5,Backward,1878,0.463,3090.95
Amphibians,All species,0.5,Backward,1879,0.463,3221.87
Amphibians,All species,0.5,Backward,1880,0.463,3466.18
Amphibians,All species,0.5,Backward,1881,0.463,3535.83
Amphibians,All species,0.5,Backward,1882,0.463,3664.01
Amphibians,All species,0.5,Backward,1883,0.463,3812.37
Amphibians,All species,0.5,Backward,1884,0.463,3847.57
Amphibians,All species,0.5,Backward,1885,0.463,3877.67
Amphibians,All species,0.5,Backward,1886,0.463,3925.95
Amphibians,All species,0.5,Backward,1887,0.463,4052.51
Amphibians,All species,0.5,Backward,1888,0.463,4324.25
Amphibians,All species,0.5,Backward,1889,0.463,4339.29
Amphibians,All species,0.5,Backward,1890,0.463,4601.05
Amphibians,All species,0.5,Backward,1891,0.463,4752.98
Amphibians,All species,0.5,Backward,1892,0.463,4791.43
Amphibians,All species,0.5,Backward,1893,0.463,4771.07
Amphibians,All species,0.5,Backward,1894,0.463,4897.12
Amphibians,All species,0.5,Backward,1895,0.463,5102.3
Amphibians,All species,0.5,Backward,1896,0.463,5225.58
Amphibians,All species,0.5,Backward,1897,0.463,5406.76
Amphibians,All species,0.5,Backward,1898,0.463,5618.41
Amphibians,All species,0.5,Backward,1899,0.463,5990.29
Amphibians,All species,0.5,Backward,1900,0.463,6242.25
Amphibians,All species,0.5,Backward,1901,0.463,6398.4
Amphibians,All species,0.5,Backward,1902,0.463,6525.69
Amphibians,All species,0.5,Backward,1903,0.463,6960.58
Amphibians,All species,0.5,Backward,1904,0.463,7034.49
Amphibians,All species,0.5,Backward,1905,0.463,7371.01
Amphibians,All species,0.5,Backward,1906,0.463,7678.75
Amphibians,All species,0.5,Backward,1907,0.463,8452.3
Amphibians,All species,0.5,Backward,1908,0.463,8234.47
Amphibians,All species,0.5,Backward,1909,0.464,8487.3
Amphibians,All species,0.5,Backward,1910,0.464,8827.21
Amphibians,All species,0.5,Backward,1911,0.464,8957.82
Amphibians,All species,0.5,Backward,1912,0.464,9309.66
Amphibians,All species,0.5,Backward,1913,0.464,9927.85
Amphibians,All species,0.5,Backward,1914,0.463,9229.24
Amphibians,All species,0.5,Backward,1915,0.463,9142.34
Amphibians,All species,0.5,Backward,1916,0.463,9685.77
Amphibians,All species,0.5,Backward,1917,0.463,9993.44
Amphibians,All species,0.5,Backward,1918,0.463,9896.8
Amphibians,All species,0.5,Backward,1919,0.463,8905.55
Amphibians,All species,0.5,Backward,1920,0.463,9993.64
Amphibians,All species,0.5,Backward,1921,0.463,9036.88
Amphibians,All species,0.5,Backward,1922,0.463,9440.31
Amphibians,All species,0.5,Backward,1923,0.463,10458.99
Amphibians,All species,0.5,Backward,1924,0.463,10516.44
Amphibians,All species,0.5,Backward,1925,0.463,10671.69
Amphibians,All species,0.5,Backward,1926,0.463,10557.28
Amphibians,All species,0.5,Backward,1927,0.462,11402.16
Amphibians,All species,0.5,Backward,1928,0.462,11401.07
Amphibians,All species,0.5,Backward,1929,0.462,12110.35
Amphibians,All species,0.5,Backward,1930,0.462,11421.35
Amphibians,All species,0.5,Backward,1931,0.462,10502.01
Amphibians,All species,0.5,Backward,1932,0.462,9763.69
Amphibians,All species,0.5,Backward,1933,0.462,10175.85
Amphibians,All species,0.5,Backward,1934,0.461,10875.6
Amphibians,All species,0.5,Backward,1935,0.461,11323.5
Amphibians,All species,0.5,Backward,1936,0.461,12197.97
Amphibians,All species,0.5,Backward,1937,0.461,12904.77
Amphibians,All species,0.5,Backward,1938,0.461,12355.64
Amphibians,All species,0.5,Backward,1939,0.46,12957.99
Amphibians,All species,0.5,Backward,1940,0.46,13783.93
Amphibians,All species,0.5,Backward,1941,0.46,14098.08
Amphibians,All species,0.5,Backward,1942,0.46,14192.13
Amphibians,All species,0.5,Backward,1943,0.459,14682.31
Amphibians,All species,0.5,Backward,1944,0.459,14690.47
Amphibians,All species,0.5,Backward,1945,0.459,13012.78
Amphibians,All species,0.5,Backward,1946,0.458,14143.72
Amphibians,All species,0.5,Backward,1947,0.458,15465.85
Amphibians,All species,0.5,Backward,1948,0.458,16207.23
Amphibians,All species,0.5,Backward,1949,0.457,15916.8
Amphibians,All species,0.5,Backward,1950,0.457,16890.93
Amphibians,All species,0.5,Backward,1951,0.457,17999.91
Amphibians,All species,0.5,Backward,1952,0.456,18289.06
Amphibians,All species,0.5,Backward,1953,0.456,18807.37
Amphibians,All species,0.5,Backward,1954,0.456,19294.46
Amphibians,All species,0.5,Backward,1955,0.456,20897.93
Amphibians,All species,0.5,Backward,1956,0.455,22089.56
Amphibians,All species,0.5,Backward,1957,0.455,22826.03
Amphibians,All species,0.5,Backward,1958,0.455,23548.55
Amphibians,All species,0.5,Backward,1959,0.454,24752.49
Amphibians,All species,0.5,Backward,1960,0.454,25988.11
Amphibians,All species,0.5,Backward,1961,0.453,26188.78
Amphibians,All species,0.5,Backward,1962,0.453,27104.02
Amphibians,All species,0.5,Backward,1963,0.452,28523.2
Amphibians,All species,0.5,Backward,1964,0.451,29803.1
Amphibians,All species,0.5,Backward,1965,0.451,31127.83
Amphibians,All species,0.5,Backward,1966,0.45,32601.15
Amphibians,All species,0.5,Backward,1967,0.449,33451.89
Amphibians,All species,0.5,Backward,1968,0.448,35010.35
Amphibians,All species,0.5,Backward,1969,0.447,37112.04
Amphibians,All species,0.5,Backward,1970,0.447,39614.23
Amphibians,All species,0.5,Backward,1971,0.446,40530.42
Amphibians,All species,0.5,Backward,1972,0.446,42211.48
Amphibians,All species,0.5,Backward,1973,0.445,44280.37
Amphibians,All species,0.5,Backward,1974,0.445,44121.82
Amphibians,All species,0.5,Backward,1975,0.444,44050.01
Amphibians,All species,0.5,Backward,1976,0.444,46057.62
Amphibians,All species,0.5,Backward,1977,0.443,47041.32
Amphibians,All species,0.5,Backward,1978,0.443,48596.89
Amphibians,All species,0.5,Backward,1979,0.442,49858.01
Amphibians,All species,0.5,Backward,1980,0.441,49454.78
Amphibians,All species,0.5,Backward,1981,0.441,48207.63
Amphibians,All species,0.5,Backward,1982,0.441,47704.35
Amphibians,All species,0.5,Backward,1983,0.44,48048.05
Amphibians,All species,0.5,Backward,1984,0.44,49506.89
Amphibians,All species,0.5,Backward,1985,0.439,50883.29
Amphibians,All species,0.5,Backward,1986,0.439,51424.55
Amphibians,All species,0.5,Backward,1987,0.438,52670.11
Amphibians,All species,0.5,Backward,1988,0.437,54519.88
Amphibians,All species,0.5,Backward,1989,0.437,55424.76
Amphibians,All species,0.5,Backward,1990,0.436,54478.18
Amphibians,All species,0.5,Backward,1991,0.436,55314.77
Amphibians,All species,0.5,Backward,1992,0.436,53864.92
Amphibians,All species,0.5,JP,1850,0.496,1671.58
Amphibians,All species,0.5,JP,1851,0.496,1685.14
Amphibians,All species,0.5,JP,1852,0.496,1712.52
Amphibians,All species,0.5,JP,1853,0.496,1744.62
Amphibians,All species,0.5,JP,1854,0.495,1838.26
Amphibians,All species,0.5,JP,1855,0.495,1855.61
Amphibians,All species,0.5,JP,1856,0.495,1902.93
Amphibians,All species,0.5,JP,1857,0.495,1918.21
Amphibians,All species,0.5,JP,1858,0.495,1931.72
Amphibians,All species,0.5,JP,1859,0.495,1977.01
Amphibians,All species,0.5,JP,1860,0.495,2049.92
Amphibians,All species,0.5,JP,1861,0.495,2096.42
Amphibians,All species,0.5,JP,1862,0.495,2115.8
Amphibians,All species,0.5,JP,1863,0.495,2174.59
Amphibians,All species,0.5,JP,1864,0.495,2248.07
Amphibians,All species,0.5,JP,1865,0.495,2309.96
Amphibians,All species,0.5,JP,1866,0.495,2347.4
Amphibians,All species,0.5,JP,1867,0.495,2426.49
Amphibians,All species,0.5,JP,1868,0.495,2461.67
Amphibians,All species,0.5,JP,1869,0.495,2535.26
Amphibians,All species,0.5,JP,1870,0.495,2568.52
Amphibians,All species,0.5,JP,1871,0.495,2651.61
Amphibians,All species,0.5,JP,1872,0.495,2805.06
Amphibians,All species,0.5,JP,1873,0.495,2910.03
Amphibians,All species,0.5,JP,1874,0.495,2835.53
Amphibians,All species,0.5,JP,1875,0.495,2975.62
Amphibians,All species,0.5,JP,1876,0.495,3016
Amphibians,All species,0.5,JP,1877,0.494,3067.16
Amphibians,All species,0.5,JP,1878,0.494,3090.95
Amphibians,All species,0.5,JP,1879,0.494,3221.87
Amphibians,All species,0.5,JP,1880,0.494,3466.18
Amphibians,All species,0.5,JP,1881,0.494,3535.83
Amphibians,All species,0.5,JP,1882,0.494,3664.01
Amphibians,All species,0.5,JP,1883,0.494,3812.37
Amphibians,All species,0.5,JP,1884,0.493,3847.57
Amphibians,All species,0.5,JP,1885,0.493,3877.67
Amphibians,All species,0.5,JP,1886,0.493,3925.95
Amphibians,All species,0.5,JP,1887,0.493,4052.51
Amphibians,All species,0.5,JP,1888,0.493,4324.25
Amphibians,All species,0.5,JP,1889,0.493,4339.29
Amphibians,All species,0.5,JP,1890,0.493,4601.05
Amphibians,All species,0.5,JP,1891,0.493,4752.98
Amphibians,All species,0.5,JP,1892,0.492,4791.43
Amphibians,All species,0.5,JP,1893,0.492,4771.07
Amphibians,All species,0.5,JP,1894,0.492,4897.12
Amphibians,All species,0.5,JP,1895,0.492,5102.3
Amphibians,All species,0.5,JP,1896,0.492,5225.58
Amphibians,All species,0.5,JP,1897,0.491,5406.76
Amphibians,All species,0.5,JP,1898,0.491,5618.41
Amphibians,All species,0.5,JP,1899,0.491,5990.29
Amphibians,All species,0.5,JP,1900,0.491,6242.25
Amphibians,All species,0.5,JP,1901,0.491,6398.4
Amphibians,All species,0.5,JP,1902,0.49,6525.69
Amphibians,All species,0.5,JP,1903,0.49,6960.58
Amphibians,All species,0.5,JP,1904,0.49,7034.49
Amphibians,All species,0.5,JP,1905,0.49,7371.01
Amphibians,All species,0.5,JP,1906,0.49,7678.75
Amphibians,All species,0.5,JP,1907,0.489,8452.3
Amphibians,All species,0.5,JP,1908,0.489,8234.47
Amphibians,All species,0.5,JP,1909,0.489,8487.3
Amphibians,All species,0.5,JP,1910,0.489,8827.21
Amphibians,All species,0.5,JP,1911,0.488,8957.82
Amphibians,All species,0.5,JP,1912,0.488,9309.66
Amphibians,All species,0.5,JP,1913,0.488,9927.85
Amphibians,All species,0.5,JP,1914,0.488,9229.24
Amphibians,All species,0.5,JP,1915,0.488,9142.34
Amphibians,All species,0.5,JP,1916,0.488,9685.77
Amphibians,All species,0.5,JP,1917,0.487,9993.44
Amphibians,All species,0.5,JP,1918,0.487,9896.8
Amphibians,All species,0.5,JP,1919,0.487,8905.55
Amphibians,All species,0.5,JP,1920,0.487,9993.64
Amphibians,All species,0.5,JP,1921,0.487,9036.88
Amphibians,All species,0.5,JP,1922,0.487,9440.31
Amphibians,All species,0.5,JP,1923,0.487,10458.99
Amphibians,All species,0.5,JP,1924,0.486,10516.44
Amphibians,All species,0.5,JP,1925,0.486,10671.69
Amphibians,All species,0.5,JP,1926,0.486,10557.28
Amphibians,All species,0.5,JP,1927,0.486,11402.16
Amphibians,All species,0.5,JP,1928,0.485,11401.07
Amphibians,All species,0.5,JP,1929,0.485,12110.35
Amphibians,All species,0.5,JP,1930,0.485,11421.35
Amphibians,All species,0.5,JP,1931,0.484,10502.01
Amphibians,All species,0.5,JP,1932,0.484,9763.69
Amphibians,All species,0.5,JP,1933,0.484,10175.85
Amphibians,All species,0.5,JP,1934,0.483,10875.6
Amphibians,All species,0.5,JP,1935,0.483,11323.5
Amphibians,All species,0.5,JP,1936,0.482,12197.97
Amphibians,All species,0.5,JP,1937,0.482,12904.77
Amphibians,All species,0.5,JP,1938,0.481,12355.64
Amphibians,All species,0.5,JP,1939,0.481,12957.99
Amphibians,All species,0.5,JP,1940,0.48,13783.93
Amphibians,All species,0.5,JP,1941,0.48,14098.08
Amphibians,All species,0.5,JP,1942,0.48,14192.13
Amphibians,All species,0.5,JP,1943,0.479,14682.31
Amphibians,All species,0.5,JP,1944,0.479,14690.47
Amphibians,All species,0.5,JP,1945,0.479,13012.78
Amphibians,All species,0.5,JP,1946,0.478,14143.72
Amphibians,All species,0.5,JP,1947,0.477,15465.85
Amphibians,All species,0.5,JP,1948,0.477,16207.23
Amphibians,All species,0.5,JP,1949,0.476,15916.8
Amphibians,All species,0.5,JP,1950,0.475,16890.93
Amphibians,All species,0.5,JP,1951,0.475,17999.91
Amphibians,All species,0.5,JP,1952,0.475,18289.06
Amphibians,All species,0.5,JP,1953,0.475,18807.37
Amphibians,All species,0.5,JP,1954,0.475,19294.46
Amphibians,All species,0.5,JP,1955,0.474,20897.93
Amphibians,All species,0.5,JP,1956,0.474,22089.56
Amphibians,All species,0.5,JP,1957,0.473,22826.03
Amphibians,All species,0.5,JP,1958,0.473,23548.55
Amphibians,All species,0.5,JP,1959,0.473,24752.49
Amphibians,All species,0.5,JP,1960,0.472,25988.11
Amphibians,All species,0.5,JP,1961,0.472,26188.78
Amphibians,All species,0.5,JP,1962,0.472,27104.02
Amphibians,All species,0.5,JP,1963,0.471,28523.2
Amphibians,All species,0.5,JP,1964,0.471,29803.1
Amphibians,All species,0.5,JP,1965,0.471,31127.83
Amphibians,All species,0.5,JP,1966,0.47,32601.15
Amphibians,All species,0.5,JP,1967,0.47,33451.89
Amphibians,All species,0.5,JP,1968,0.469,35010.35
Amphibians,All species,0.5,JP,1969,0.469,37112.04
Amphibians,All species,0.5,JP,1970,0.469,39614.23
Amphibians,All species,0.5,JP,1971,0.469,40530.42
Amphibians,All species,0.5,JP,1972,0.468,42211.48
Amphibians,All species,0.5,JP,1973,0.467,44280.37
Amphibians,All species,0.5,JP,1974,0.467,44121.82
Amphibians,All species,0.5,JP,1975,0.466,44050.01
Amphibians,All species,0.5,JP,1976,0.465,46057.62
Amphibians,All species,0.5,JP,1977,0.465,47041.32
Amphibians,All species,0.5,JP,1978,0.464,48596.89
Amphibians,All species,0.5,JP,1979,0.463,49858.01
Amphibians,All species,0.5,JP,1980,0.463,49454.78
Amphibians,All species,0.5,JP,1981,0.462,48207.63
Amphibians,All species,0.5,JP,1982,0.462,47704.35
Amphibians,All species,0.5,JP,1983,0.462,48048.05
Amphibians,All species,0.5,JP,1984,0.461,49506.89
Amphibians,All species,0.5,JP,1985,0.461,50883.29
Amphibians,All species,0.5,JP,1986,0.46,51424.55
Amphibians,All species,0.5,JP,1987,0.46,52670.11
Amphibians,All species,0.5,JP,1988,0.46,54519.88
Amphibians,All species,0.5,JP,1989,0.459,55424.76
Amphibians,All species,0.5,JP,1990,0.459,54478.18
Amphibians,All species,0.5,JP,1991,0.459,55314.77
Amphibians,All species,0.5,JP,1992,0.458,53864.92
Amphibians,Critically Endangered,0.5,Forward,1850,0.044,1671.58
Amphibians,Critically Endangered,0.5,Forward,1851,0.044,1685.14
Amphibians,Critically Endangered,0.5,Forward,1852,0.044,1712.52
Amphibians,Critically Endangered,0.5,Forward,1853,0.044,1744.62
Amphibians,Critically Endangered,0.5,Forward,1854,0.044,1838.26
Amphibians,Critically Endangered,0.5,Forward,1855,0.044,1855.61
Amphibians,Critically Endangered,0.5,Forward,1856,0.044,1902.93
Amphibians,Critically Endangered,0.5,Forward,1857,0.044,1918.21
Amphibians,Critically Endangered,0.5,Forward,1858,0.044,1931.72
Amphibians,Critically Endangered,0.5,Forward,1859,0.044,1977.01
Amphibians,Critically Endangered,0.5,Forward,1860,0.044,2049.92
Amphibians,Critically Endangered,0.5,Forward,1861,0.044,2096.42
Amphibians,Critically Endangered,0.5,Forward,1862,0.044,2115.8
Amphibians,Critically Endangered,0.5,Forward,1863,0.044,2174.59
Amphibians,Critically Endangered,0.5,Forward,1864,0.044,2248.07
Amphibians,Critically Endangered,0.5,Forward,1865,0.044,2309.96
Amphibians,Critically Endangered,0.5,Forward,1866,0.044,2347.4
Amphibians,Critically Endangered,0.5,Forward,1867,0.044,2426.49
Amphibians,Critically Endangered,0.5,Forward,1868,0.044,2461.67
Amphibians,Critically Endangered,0.5,Forward,1869,0.044,2535.26
Amphibians,Critically Endangered,0.5,Forward,1870,0.044,2568.52
Amphibians,Critically Endangered,0.5,Forward,1871,0.044,2651.61
Amphibians,Critically Endangered,0.5,Forward,1872,0.044,2805.06
Amphibians,Critically Endangered,0.5,Forward,1873,0.044,2910.03
Amphibians,Critically Endangered,0.5,Forward,1874,0.044,2835.53
Amphibians,Critically Endangered,0.5,Forward,1875,0.044,2975.62
Amphibians,Critically Endangered,0.5,Forward,1876,0.044,3016
Amphibians,Critically Endangered,0.5,Forward,1877,0.044,3067.16
Amphibians,Critically Endangered,0.5,Forward,1878,0.045,3090.95
Amphibians,Critically Endangered,0.5,Forward,1879,0.045,3221.87
Amphibians,Critically Endangered,0.5,Forward,1880,0.045,3466.18
Amphibians,Critically Endangered,0.5,Forward,1881,0.045,3535.83
Amphibians,Critically Endangered,0.5,Forward,1882,0.045,3664.01
Amphibians,Critically Endangered,0.5,Forward,1883,0.045,3812.37
Amphibians,Critically Endangered,0.5,Forward,1884,0.045,3847.57
Amphibians,Critically Endangered,0.5,Forward,1885,0.045,3877.67
Amphibians,Critically Endangered,0.5,Forward,1886,0.045,3925.95
Amphibians,Critically Endangered,0.5,Forward,1887,0.045,4052.51
Amphibians,Critically Endangered,0.5,Forward,1888,0.045,4324.25
Amphibians,Critically Endangered,0.5,Forward,1889,0.045,4339.29
Amphibians,Critically Endangered,0.5,Forward,1890,0.045,4601.05
Amphibians,Critically Endangered,0.5,Forward,1891,0.045,4752.98
Amphibians,Critically Endangered,0.5,Forward,1892,0.045,4791.43
Amphibians,Critically Endangered,0.5,Forward,1893,0.045,4771.07
Amphibians,Critically Endangered,0.5,Forward,1894,0.045,4897.12
Amphibians,Critically Endangered,0.5,Forward,1895,0.045,5102.3
Amphibians,Critically Endangered,0.5,Forward,1896,0.045,5225.58
Amphibians,Critically Endangered,0.5,Forward,1897,0.045,5406.76
