Taxon,redlistCategory,Resolution,Methods,Year,Pearson's r
Amphibians,All species,0.5,Forward,1584,0.503
Amphibians,All species,0.5,Forward,1585,0.503
Amphibians,All species,0.5,Forward,1586,0.503
Amphibians,All species,0.5,Forward,1587,0.503
Amphibians,All species,0.5,Forward,1588,0.503
Amphibians,All species,0.5,Forward,1589,0.503
Amphibians,All species,0.5,Forward,1590,0.503
Amphibians,All species,0.5,Forward,1591,0.503
Amphibians,All species,0.5,Forward,1592,0.503
Amphibians,All species,0.5,Forward,1593,0.503
Amphibians,All species,0.5,Forward,1594,0.503
Amphibians,All species,0.5,Forward,1595,0.503
Amphibians,All species,0.5,Forward,1596,0.503
Amphibians,All species,0.5,Forward,1597,0.503
Amphibians,All species,0.5,Forward,1598,0.503
Amphibians,All species,0.5,Forward,1599,0.503
Amphibians,All species,0.5,Forward,1600,0.503
Amphibians,All species,0.5,Forward,1601,0.503
Amphibians,All species,0.5,Forward,1602,0.503
Amphibians,All species,0.5,Forward,1603,0.503
Amphibians,All species,0.5,Forward,1604,0.503
Amphibians,All species,0.5,Forward,1605,0.503
Amphibians,All species,0.5,Forward,1606,0.503
Amphibians,All species,0.5,Forward,1607,0.503
Amphibians,All species,0.5,Forward,1608,0.503
Amphibians,All species,0.5,Forward,1609,0.503
Amphibians,All species,0.5,Forward,1610,0.503
Amphibians,All species,0.5,Forward,1611,0.503
Amphibians,All species,0.5,Forward,1612,0.503
Amphibians,All species,0.5,Forward,1613,0.503
Amphibians,All species,0.5,Forward,1614,0.503
Amphibians,All species,0.5,Forward,1615,0.503
Amphibians,All species,0.5,Forward,1616,0.503
Amphibians,All species,0.5,Forward,1617,0.503
Amphibians,All species,0.5,Forward,1618,0.503
Amphibians,All species,0.5,Forward,1619,0.503
Amphibians,All species,0.5,Forward,1620,0.504
Amphibians,All species,0.5,Forward,1621,0.504
Amphibians,All species,0.5,Forward,1622,0.504
Amphibians,All species,0.5,Forward,1623,0.504
Amphibians,All species,0.5,Forward,1624,0.504
Amphibians,All species,0.5,Forward,1625,0.504
Amphibians,All species,0.5,Forward,1626,0.504
Amphibians,All species,0.5,Forward,1627,0.504
Amphibians,All species,0.5,Forward,1628,0.504
Amphibians,All species,0.5,Forward,1629,0.504
Amphibians,All species,0.5,Forward,1630,0.504
Amphibians,All species,0.5,Forward,1631,0.504
Amphibians,All species,0.5,Forward,1632,0.504
Amphibians,All species,0.5,Forward,1633,0.504
Amphibians,All species,0.5,Forward,1634,0.504
Amphibians,All species,0.5,Forward,1635,0.504
Amphibians,All species,0.5,Forward,1636,0.504
Amphibians,All species,0.5,Forward,1637,0.504
Amphibians,All species,0.5,Forward,1638,0.504
Amphibians,All species,0.5,Forward,1639,0.504
Amphibians,All species,0.5,Forward,1640,0.504
Amphibians,All species,0.5,Forward,1641,0.504
Amphibians,All species,0.5,Forward,1642,0.504
Amphibians,All species,0.5,Forward,1643,0.504
Amphibians,All species,0.5,Forward,1644,0.504
Amphibians,All species,0.5,Forward,1645,0.504
Amphibians,All species,0.5,Forward,1646,0.504
Amphibians,All species,0.5,Forward,1647,0.504
Amphibians,All species,0.5,Forward,1648,0.504
Amphibians,All species,0.5,Forward,1649,0.504
Amphibians,All species,0.5,Forward,1650,0.504
Amphibians,All species,0.5,Forward,1651,0.504
Amphibians,All species,0.5,Forward,1652,0.504
Amphibians,All species,0.5,Forward,1653,0.504
Amphibians,All species,0.5,Forward,1654,0.504
Amphibians,All species,0.5,Forward,1655,0.504
Amphibians,All species,0.5,Forward,1656,0.504
Amphibians,All species,0.5,Forward,1657,0.504
Amphibians,All species,0.5,Forward,1658,0.504
Amphibians,All species,0.5,Forward,1659,0.504
Amphibians,All species,0.5,Forward,1660,0.504
Amphibians,All species,0.5,Forward,1661,0.504
Amphibians,All species,0.5,Forward,1662,0.504
Amphibians,All species,0.5,Forward,1663,0.504
Amphibians,All species,0.5,Forward,1664,0.504
Amphibians,All species,0.5,Forward,1665,0.504
Amphibians,All species,0.5,Forward,1666,0.504
Amphibians,All species,0.5,Forward,1667,0.504
Amphibians,All species,0.5,Forward,1668,0.504
Amphibians,All species,0.5,Forward,1669,0.504
Amphibians,All species,0.5,Forward,1670,0.504
Amphibians,All species,0.5,Forward,1671,0.504
Amphibians,All species,0.5,Forward,1672,0.504
Amphibians,All species,0.5,Forward,1673,0.504
Amphibians,All species,0.5,Forward,1674,0.504
Amphibians,All species,0.5,Forward,1675,0.504
Amphibians,All species,0.5,Forward,1676,0.504
Amphibians,All species,0.5,Forward,1677,0.504
Amphibians,All species,0.5,Forward,1678,0.504
Amphibians,All species,0.5,Forward,1679,0.504
Amphibians,All species,0.5,Forward,1680,0.504
Amphibians,All species,0.5,Forward,1681,0.504
Amphibians,All species,0.5,Forward,1682,0.504
Amphibians,All species,0.5,Forward,1683,0.504
Amphibians,All species,0.5,Forward,1684,0.504
Amphibians,All species,0.5,Forward,1685,0.504
Amphibians,All species,0.5,Forward,1686,0.504
Amphibians,All species,0.5,Forward,1687,0.504
Amphibians,All species,0.5,Forward,1688,0.504
Amphibians,All species,0.5,Forward,1689,0.504
Amphibians,All species,0.5,Forward,1690,0.504
Amphibians,All species,0.5,Forward,1691,0.504
Amphibians,All species,0.5,Forward,1692,0.504
Amphibians,All species,0.5,Forward,1693,0.505
Amphibians,All species,0.5,Forward,1694,0.505
Amphibians,All species,0.5,Forward,1695,0.505
Amphibians,All species,0.5,Forward,1696,0.505
Amphibians,All species,0.5,Forward,1697,0.505
Amphibians,All species,0.5,Forward,1698,0.505
Amphibians,All species,0.5,Forward,1699,0.505
Amphibians,All species,0.5,Forward,1700,0.505
Amphibians,All species,0.5,Forward,1701,0.505
Amphibians,All species,0.5,Forward,1702,0.505
Amphibians,All species,0.5,Forward,1703,0.505
Amphibians,All species,0.5,Forward,1704,0.505
Amphibians,All species,0.5,Forward,1705,0.505
Amphibians,All species,0.5,Forward,1706,0.505
Amphibians,All species,0.5,Forward,1707,0.505
Amphibians,All species,0.5,Forward,1708,0.505
Amphibians,All species,0.5,Forward,1709,0.505
Amphibians,All species,0.5,Forward,1710,0.505
Amphibians,All species,0.5,Forward,1711,0.505
Amphibians,All species,0.5,Forward,1712,0.505
Amphibians,All species,0.5,Forward,1713,0.505
Amphibians,All species,0.5,Forward,1714,0.505
Amphibians,All species,0.5,Forward,1715,0.505
Amphibians,All species,0.5,Forward,1716,0.505
Amphibians,All species,0.5,Forward,1717,0.505
Amphibians,All species,0.5,Forward,1718,0.505
Amphibians,All species,0.5,Forward,1719,0.506
Amphibians,All species,0.5,Forward,1720,0.506
Amphibians,All species,0.5,Forward,1721,0.506
Amphibians,All species,0.5,Forward,1722,0.506
Amphibians,All species,0.5,Forward,1723,0.506
Amphibians,All species,0.5,Forward,1724,0.506
Amphibians,All species,0.5,Forward,1725,0.506
Amphibians,All species,0.5,Forward,1726,0.506
Amphibians,All species,0.5,Forward,1727,0.506
Amphibians,All species,0.5,Forward,1728,0.506
Amphibians,All species,0.5,Forward,1729,0.506
Amphibians,All species,0.5,Forward,1730,0.506
Amphibians,All species,0.5,Forward,1731,0.506
Amphibians,All species,0.5,Forward,1732,0.506
Amphibians,All species,0.5,Forward,1733,0.506
Amphibians,All species,0.5,Forward,1734,0.506
Amphibians,All species,0.5,Forward,1735,0.506
Amphibians,All species,0.5,Forward,1736,0.506
Amphibians,All species,0.5,Forward,1737,0.506
Amphibians,All species,0.5,Forward,1738,0.506
Amphibians,All species,0.5,Forward,1739,0.506
Amphibians,All species,0.5,Forward,1740,0.506
Amphibians,All species,0.5,Forward,1741,0.506
Amphibians,All species,0.5,Forward,1742,0.507
Amphibians,All species,0.5,Forward,1743,0.507
Amphibians,All species,0.5,Forward,1744,0.507
Amphibians,All species,0.5,Forward,1745,0.507
Amphibians,All species,0.5,Forward,1746,0.507
Amphibians,All species,0.5,Forward,1747,0.507
Amphibians,All species,0.5,Forward,1748,0.507
Amphibians,All species,0.5,Forward,1749,0.507
Amphibians,All species,0.5,Forward,1750,0.507
Amphibians,All species,0.5,Forward,1751,0.507
Amphibians,All species,0.5,Forward,1752,0.507
Amphibians,All species,0.5,Forward,1753,0.507
Amphibians,All species,0.5,Forward,1754,0.507
Amphibians,All species,0.5,Forward,1755,0.507
Amphibians,All species,0.5,Forward,1756,0.507
Amphibians,All species,0.5,Forward,1757,0.507
Amphibians,All species,0.5,Forward,1758,0.507
Amphibians,All species,0.5,Forward,1759,0.507
Amphibians,All species,0.5,Forward,1760,0.507
Amphibians,All species,0.5,Forward,1761,0.507
Amphibians,All species,0.5,Forward,1762,0.507
Amphibians,All species,0.5,Forward,1763,0.507
Amphibians,All species,0.5,Forward,1764,0.507
Amphibians,All species,0.5,Forward,1765,0.507
Amphibians,All species,0.5,Forward,1766,0.507
Amphibians,All species,0.5,Forward,1767,0.507
Amphibians,All species,0.5,Forward,1768,0.507
Amphibians,All species,0.5,Forward,1769,0.507
Amphibians,All species,0.5,Forward,1770,0.507
Amphibians,All species,0.5,Forward,1771,0.508
Amphibians,All species,0.5,Forward,1772,0.508
Amphibians,All species,0.5,Forward,1773,0.508
Amphibians,All species,0.5,Forward,1774,0.508
Amphibians,All species,0.5,Forward,1775,0.508
Amphibians,All species,0.5,Forward,1776,0.508
Amphibians,All species,0.5,Forward,1777,0.508
Amphibians,All species,0.5,Forward,1778,0.508
Amphibians,All species,0.5,Forward,1779,0.508
Amphibians,All species,0.5,Forward,1780,0.508
Amphibians,All species,0.5,Forward,1781,0.508
Amphibians,All species,0.5,Forward,1782,0.508
Amphibians,All species,0.5,Forward,1783,0.508
Amphibians,All species,0.5,Forward,1784,0.508
Amphibians,All species,0.5,Forward,1785,0.508
Amphibians,All species,0.5,Forward,1786,0.508
Amphibians,All species,0.5,Forward,1787,0.508
Amphibians,All species,0.5,Forward,1788,0.508
Amphibians,All species,0.5,Forward,1789,0.508
Amphibians,All species,0.5,Forward,1790,0.508
Amphibians,All species,0.5,Forward,1791,0.508
Amphibians,All species,0.5,Forward,1792,0.508
Amphibians,All species,0.5,Forward,1793,0.508
Amphibians,All species,0.5,Forward,1794,0.508
Amphibians,All species,0.5,Forward,1795,0.508
Amphibians,All species,0.5,Forward,1796,0.508
Amphibians,All species,0.5,Forward,1797,0.508
Amphibians,All species,0.5,Forward,1798,0.508
Amphibians,All species,0.5,Forward,1799,0.508
Amphibians,All species,0.5,Forward,1800,0.508
Amphibians,All species,0.5,Forward,1801,0.508
Amphibians,All species,0.5,Forward,1802,0.508
Amphibians,All species,0.5,Forward,1803,0.508
Amphibians,All species,0.5,Forward,1804,0.508
Amphibians,All species,0.5,Forward,1805,0.508
Amphibians,All species,0.5,Forward,1806,0.508
Amphibians,All species,0.5,Forward,1807,0.508
Amphibians,All species,0.5,Forward,1808,0.508
Amphibians,All species,0.5,Forward,1809,0.508
Amphibians,All species,0.5,Forward,1810,0.508
Amphibians,All species,0.5,Forward,1811,0.508
Amphibians,All species,0.5,Forward,1812,0.508
Amphibians,All species,0.5,Forward,1813,0.508
Amphibians,All species,0.5,Forward,1814,0.508
Amphibians,All species,0.5,Forward,1815,0.508
Amphibians,All species,0.5,Forward,1816,0.508
Amphibians,All species,0.5,Forward,1817,0.508
Amphibians,All species,0.5,Forward,1818,0.508
Amphibians,All species,0.5,Forward,1819,0.508
Amphibians,All species,0.5,Forward,1820,0.508
Amphibians,All species,0.5,Forward,1821,0.508
Amphibians,All species,0.5,Forward,1822,0.508
Amphibians,All species,0.5,Forward,1823,0.508
Amphibians,All species,0.5,Forward,1824,0.508
Amphibians,All species,0.5,Forward,1825,0.508
Amphibians,All species,0.5,Forward,1826,0.508
Amphibians,All species,0.5,Forward,1827,0.508
Amphibians,All species,0.5,Forward,1828,0.508
Amphibians,All species,0.5,Forward,1829,0.507
Amphibians,All species,0.5,Forward,1830,0.507
Amphibians,All species,0.5,Forward,1831,0.507
Amphibians,All species,0.5,Forward,1832,0.507
Amphibians,All species,0.5,Forward,1833,0.507
Amphibians,All species,0.5,Forward,1834,0.507
Amphibians,All species,0.5,Forward,1835,0.507
Amphibians,All species,0.5,Forward,1836,0.507
Amphibians,All species,0.5,Forward,1837,0.507
Amphibians,All species,0.5,Forward,1838,0.507
Amphibians,All species,0.5,Forward,1839,0.507
Amphibians,All species,0.5,Forward,1840,0.507
Amphibians,All species,0.5,Forward,1841,0.507
Amphibians,All species,0.5,Forward,1842,0.507
Amphibians,All species,0.5,Forward,1843,0.507
Amphibians,All species,0.5,Forward,1844,0.507
Amphibians,All species,0.5,Forward,1845,0.507
Amphibians,All species,0.5,Forward,1846,0.507
Amphibians,All species,0.5,Forward,1847,0.507
Amphibians,All species,0.5,Forward,1848,0.506
Amphibians,All species,0.5,Forward,1849,0.506
Amphibians,All species,0.5,Forward,1850,0.506
Amphibians,All species,0.5,Forward,1851,0.506
Amphibians,All species,0.5,Forward,1852,0.506
Amphibians,All species,0.5,Forward,1853,0.506
Amphibians,All species,0.5,Forward,1854,0.506
Amphibians,All species,0.5,Forward,1855,0.506
Amphibians,All species,0.5,Forward,1856,0.506
Amphibians,All species,0.5,Forward,1857,0.506
Amphibians,All species,0.5,Forward,1858,0.506
Amphibians,All species,0.5,Forward,1859,0.506
Amphibians,All species,0.5,Forward,1860,0.505
Amphibians,All species,0.5,Forward,1861,0.506
Amphibians,All species,0.5,Forward,1862,0.506
Amphibians,All species,0.5,Forward,1863,0.506
Amphibians,All species,0.5,Forward,1864,0.506
Amphibians,All species,0.5,Forward,1865,0.506
Amphibians,All species,0.5,Forward,1866,0.506
Amphibians,All species,0.5,Forward,1867,0.506
Amphibians,All species,0.5,Forward,1868,0.506
Amphibians,All species,0.5,Forward,1869,0.506
Amphibians,All species,0.5,Forward,1870,0.506
Amphibians,All species,0.5,Forward,1871,0.506
Amphibians,All species,0.5,Forward,1872,0.506
Amphibians,All species,0.5,Forward,1873,0.506
Amphibians,All species,0.5,Forward,1874,0.506
Amphibians,All species,0.5,Forward,1875,0.506
Amphibians,All species,0.5,Forward,1876,0.505
Amphibians,All species,0.5,Forward,1877,0.505
Amphibians,All species,0.5,Forward,1878,0.505
Amphibians,All species,0.5,Forward,1879,0.505
Amphibians,All species,0.5,Forward,1880,0.505
Amphibians,All species,0.5,Forward,1881,0.505
Amphibians,All species,0.5,Forward,1882,0.505
Amphibians,All species,0.5,Forward,1883,0.505
Amphibians,All species,0.5,Forward,1884,0.505
Amphibians,All species,0.5,Forward,1885,0.505
Amphibians,All species,0.5,Forward,1886,0.504
Amphibians,All species,0.5,Forward,1887,0.504
Amphibians,All species,0.5,Forward,1888,0.504
Amphibians,All species,0.5,Forward,1889,0.504
Amphibians,All species,0.5,Forward,1890,0.504
Amphibians,All species,0.5,Forward,1891,0.504
Amphibians,All species,0.5,Forward,1892,0.504
Amphibians,All species,0.5,Forward,1893,0.504
Amphibians,All species,0.5,Forward,1894,0.504
Amphibians,All species,0.5,Forward,1895,0.504
Amphibians,All species,0.5,Forward,1896,0.504
Amphibians,All species,0.5,Forward,1897,0.504
Amphibians,All species,0.5,Forward,1898,0.504
Amphibians,All species,0.5,Forward,1899,0.504
Amphibians,All species,0.5,Forward,1900,0.504
Amphibians,All species,0.5,Forward,1901,0.504
Amphibians,All species,0.5,Forward,1902,0.504
Amphibians,All species,0.5,Forward,1903,0.504
Amphibians,All species,0.5,Forward,1904,0.504
Amphibians,All species,0.5,Forward,1905,0.504
Amphibians,All species,0.5,Forward,1906,0.504
Amphibians,All species,0.5,Forward,1907,0.504
Amphibians,All species,0.5,Forward,1908,0.504
Amphibians,All species,0.5,Forward,1909,0.504
Amphibians,All species,0.5,Forward,1910,0.504
Amphibians,All species,0.5,Forward,1911,0.504
Amphibians,All species,0.5,Forward,1912,0.503
Amphibians,All species,0.5,Forward,1913,0.503
Amphibians,All species,0.5,Forward,1914,0.503
Amphibians,All species,0.5,Forward,1915,0.503
Amphibians,All species,0.5,Forward,1916,0.503
Amphibians,All species,0.5,Forward,1917,0.502
Amphibians,All species,0.5,Forward,1918,0.502
Amphibians,All species,0.5,Forward,1919,0.502
Amphibians,All species,0.5,Forward,1920,0.502
Amphibians,All species,0.5,Forward,1921,0.501
Amphibians,All species,0.5,Forward,1922,0.501
Amphibians,All species,0.5,Forward,1923,0.501
Amphibians,All species,0.5,Forward,1924,0.501
Amphibians,All species,0.5,Forward,1925,0.501
Amphibians,All species,0.5,Forward,1926,0.501
Amphibians,All species,0.5,Forward,1927,0.501
Amphibians,All species,0.5,Forward,1928,0.5
Amphibians,All species,0.5,Forward,1929,0.5
Amphibians,All species,0.5,Forward,1930,0.5
Amphibians,All species,0.5,Forward,1931,0.5
Amphibians,All species,0.5,Forward,1932,0.499
Amphibians,All species,0.5,Forward,1933,0.499
Amphibians,All species,0.5,Forward,1934,0.499
Amphibians,All species,0.5,Forward,1935,0.498
Amphibians,All species,0.5,Forward,1936,0.498
Amphibians,All species,0.5,Forward,1937,0.498
Amphibians,All species,0.5,Forward,1938,0.497
Amphibians,All species,0.5,Forward,1939,0.497
Amphibians,All species,0.5,Forward,1940,0.496
Amphibians,All species,0.5,Forward,1941,0.496
Amphibians,All species,0.5,Forward,1942,0.495
Amphibians,All species,0.5,Forward,1943,0.495
Amphibians,All species,0.5,Forward,1944,0.494
Amphibians,All species,0.5,Forward,1945,0.494
Amphibians,All species,0.5,Forward,1946,0.493
Amphibians,All species,0.5,Forward,1947,0.493
Amphibians,All species,0.5,Forward,1948,0.492
Amphibians,All species,0.5,Forward,1949,0.491
Amphibians,All species,0.5,Forward,1950,0.491
Amphibians,All species,0.5,Forward,1951,0.49
Amphibians,All species,0.5,Forward,1952,0.489
Amphibians,All species,0.5,Forward,1953,0.489
Amphibians,All species,0.5,Forward,1954,0.488
Amphibians,All species,0.5,Forward,1955,0.487
Amphibians,All species,0.5,Forward,1956,0.486
Amphibians,All species,0.5,Forward,1957,0.485
Amphibians,All species,0.5,Forward,1958,0.484
Amphibians,All species,0.5,Forward,1959,0.484
Amphibians,All species,0.5,Forward,1960,0.483
Amphibians,All species,0.5,Forward,1961,0.482
Amphibians,All species,0.5,Forward,1962,0.481
Amphibians,All species,0.5,Forward,1963,0.48
Amphibians,All species,0.5,Forward,1964,0.48
Amphibians,All species,0.5,Forward,1965,0.479
Amphibians,All species,0.5,Forward,1966,0.478
Amphibians,All species,0.5,Forward,1967,0.477
Amphibians,All species,0.5,Forward,1968,0.477
Amphibians,All species,0.5,Forward,1969,0.476
Amphibians,All species,0.5,Forward,1970,0.475
Amphibians,All species,0.5,Forward,1971,0.474
Amphibians,All species,0.5,Forward,1972,0.474
Amphibians,All species,0.5,Forward,1973,0.473
Amphibians,All species,0.5,Forward,1974,0.473
Amphibians,All species,0.5,Forward,1975,0.472
Amphibians,All species,0.5,Forward,1976,0.471
Amphibians,All species,0.5,Forward,1977,0.471
Amphibians,All species,0.5,Forward,1978,0.47
Amphibians,All species,0.5,Forward,1979,0.47
Amphibians,All species,0.5,Forward,1980,0.469
Amphibians,All species,0.5,Forward,1981,0.468
Amphibians,All species,0.5,Forward,1982,0.468
Amphibians,All species,0.5,Forward,1983,0.467
Amphibians,All species,0.5,Forward,1984,0.467
Amphibians,All species,0.5,Forward,1985,0.466
Amphibians,All species,0.5,Forward,1986,0.465
Amphibians,All species,0.5,Forward,1987,0.465
Amphibians,All species,0.5,Forward,1988,0.464
Amphibians,All species,0.5,Forward,1989,0.463
Amphibians,All species,0.5,Forward,1990,0.462
Amphibians,All species,0.5,Forward,1991,0.462
Amphibians,All species,0.5,Forward,1992,0.462
Amphibians,All species,0.5,Backward,1500,0.469
Amphibians,All species,0.5,Backward,1501,0.469
Amphibians,All species,0.5,Backward,1502,0.469
Amphibians,All species,0.5,Backward,1503,0.469
Amphibians,All species,0.5,Backward,1504,0.469
Amphibians,All species,0.5,Backward,1505,0.469
Amphibians,All species,0.5,Backward,1506,0.469
Amphibians,All species,0.5,Backward,1507,0.469
Amphibians,All species,0.5,Backward,1508,0.469
Amphibians,All species,0.5,Backward,1509,0.469
Amphibians,All species,0.5,Backward,1510,0.469
Amphibians,All species,0.5,Backward,1511,0.469
Amphibians,All species,0.5,Backward,1512,0.469
Amphibians,All species,0.5,Backward,1513,0.469
Amphibians,All species,0.5,Backward,1514,0.469
Amphibians,All species,0.5,Backward,1515,0.469
Amphibians,All species,0.5,Backward,1516,0.469
Amphibians,All species,0.5,Backward,1517,0.469
Amphibians,All species,0.5,Backward,1518,0.469
Amphibians,All species,0.5,Backward,1519,0.469
Amphibians,All species,0.5,Backward,1520,0.469
Amphibians,All species,0.5,Backward,1521,0.469
Amphibians,All species,0.5,Backward,1522,0.469
Amphibians,All species,0.5,Backward,1523,0.469
Amphibians,All species,0.5,Backward,1524,0.469
Amphibians,All species,0.5,Backward,1525,0.469
Amphibians,All species,0.5,Backward,1526,0.469
Amphibians,All species,0.5,Backward,1527,0.469
Amphibians,All species,0.5,Backward,1528,0.469
Amphibians,All species,0.5,Backward,1529,0.469
Amphibians,All species,0.5,Backward,1530,0.469
Amphibians,All species,0.5,Backward,1531,0.469
Amphibians,All species,0.5,Backward,1532,0.469
Amphibians,All species,0.5,Backward,1533,0.469
Amphibians,All species,0.5,Backward,1534,0.469
Amphibians,All species,0.5,Backward,1535,0.469
Amphibians,All species,0.5,Backward,1536,0.469
Amphibians,All species,0.5,Backward,1537,0.469
Amphibians,All species,0.5,Backward,1538,0.469
Amphibians,All species,0.5,Backward,1539,0.469
Amphibians,All species,0.5,Backward,1540,0.469
Amphibians,All species,0.5,Backward,1541,0.469
Amphibians,All species,0.5,Backward,1542,0.469
Amphibians,All species,0.5,Backward,1543,0.469
Amphibians,All species,0.5,Backward,1544,0.469
Amphibians,All species,0.5,Backward,1545,0.469
Amphibians,All species,0.5,Backward,1546,0.469
Amphibians,All species,0.5,Backward,1547,0.469
Amphibians,All species,0.5,Backward,1548,0.469
Amphibians,All species,0.5,Backward,1549,0.469
Amphibians,All species,0.5,Backward,1550,0.469
Amphibians,All species,0.5,Backward,1551,0.469
Amphibians,All species,0.5,Backward,1552,0.469
Amphibians,All species,0.5,Backward,1553,0.469
Amphibians,All species,0.5,Backward,1554,0.469
Amphibians,All species,0.5,Backward,1555,0.469
Amphibians,All species,0.5,Backward,1556,0.469
Amphibians,All species,0.5,Backward,1557,0.469
Amphibians,All species,0.5,Backward,1558,0.469
Amphibians,All species,0.5,Backward,1559,0.469
Amphibians,All species,0.5,Backward,1560,0.469
Amphibians,All species,0.5,Backward,1561,0.469
Amphibians,All species,0.5,Backward,1562,0.469
Amphibians,All species,0.5,Backward,1563,0.469
Amphibians,All species,0.5,Backward,1564,0.469
Amphibians,All species,0.5,Backward,1565,0.469
Amphibians,All species,0.5,Backward,1566,0.469
Amphibians,All species,0.5,Backward,1567,0.469
Amphibians,All species,0.5,Backward,1568,0.469
Amphibians,All species,0.5,Backward,1569,0.469
Amphibians,All species,0.5,Backward,1570,0.469
Amphibians,All species,0.5,Backward,1571,0.469
Amphibians,All species,0.5,Backward,1572,0.469
Amphibians,All species,0.5,Backward,1573,0.469
Amphibians,All species,0.5,Backward,1574,0.469
Amphibians,All species,0.5,Backward,1575,0.469
Amphibians,All species,0.5,Backward,1576,0.469
Amphibians,All species,0.5,Backward,1577,0.469
Amphibians,All species,0.5,Backward,1578,0.469
Amphibians,All species,0.5,Backward,1579,0.469
Amphibians,All species,0.5,Backward,1580,0.469
Amphibians,All species,0.5,Backward,1581,0.469
Amphibians,All species,0.5,Backward,1582,0.469
Amphibians,All species,0.5,Backward,1583,0.469
Amphibians,All species,0.5,Backward,1584,0.469
Amphibians,All species,0.5,Backward,1585,0.469
Amphibians,All species,0.5,Backward,1586,0.469
